Group1,Group2,F_value,p_value,p_adj,Significance
Transitional,Hard rock,6.456470848623904,0.012489008130029566,0.0374670243900887,*
Transitional,Sediment,28.645200685638876,2.1875217391654194e-7,6.562565217496259e-7,***
Hard rock,Sediment,88.49034143348459,7.574941489378765e-17,2.272482446813629e-16,***
