Group1,Group2,R2,F,p_value,p_adj
Transitional,Hard rock,0.2448388881961408,34.69161828845801,0.001,0.003
Transitional,Sediment,0.10897991855078071,26.78570624783519,0.001,0.003
Hard rock,Sediment,0.5853999688469987,214.61839985223426,0.001,0.003
